"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in_million_USD","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19","FY '20"
"","Revenue","108,249","156,508","170,910","182,795","233,715","215,639","229,234","265,595","260,174","274,515"
"","Cost of revenue","-64,431","-87,846","-106,606","-112,258","-140,089","-131,376","-141,048","-163,756","-161,782","-169,559"
"","Gross Profit","43,818","68,662","64,304","70,537","93,626","84,263","88,186","101,839","98,392","104,956"
"","Operating Expenses","-10,028","-13,421","-15,305","-18,034","-22,396","-24,239","-26,842","-30,941","-34,462","-38,668"
"","Operating Income (Loss)","33,790","55,241","48,999","52,503","71,230","60,024","61,344","70,898","63,930","66,288"
"","Non-Operating Income (Loss)","415","522","1,156","980","1,285","1,348","2,745","2,005","1,807","803"
"","Pretax Income (Loss)","34,205","55,763","50,155","53,483","72,515","61,372","64,089","72,903","65,737","67,091"
"","Income Tax (Expense) Benefit, net","-8,283","-14,030","-13,118","-13,973","-19,121","-15,685","-15,738","-13,372","-10,481","-9,680"
"","Net Income Available to Common Shareholders","25,922","41,733","37,037","39,510","53,394","45,687","48,351","59,531","55,256","57,411"
"","","","","","","","","","","",""
"Balance Sheet","","","","","","","","","","",""
"","in million USD","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19","FY '20"
"","Assets","","","","","","","","","",""
"","Cash, Cash Equivalents & Short Term Investments","25,952","29,129","40,546","25,077","41,601","67,155","74,181","66,301","100,557","90,943"
"","Accounts & Notes Receivable","5,369","10,930","13,102","17,460","16,849","15,754","17,874","23,186","22,926","16,120"
"","Inventories","776","791","1,764","2,111","2,349","2,132","4,855","3,956","4,106","4,061"
"","Other Short Term Assets","12,891","16,803","17,874","23,883","28,579","21,828","31,735","37,896","35,230","32,589"
"","Total Current Assets","44,988","57,653","73,286","68,531","89,378","106,869","128,645","131,339","162,819","143,713"
"","Property, Plant & Equipment, Net","7,777","15,452","16,597","20,624","22,471","27,010","33,783","41,304","37,378","36,766"
"","Long Term Investments & Receivables","55,618","92,122","106,215","130,162","164,065","170,430","194,714","170,799","105,341","100,887"
"","Other Long Term Assets","7,988","10,837","10,902","12,522","14,431","17,377","18,177","22,283","32,978","42,522"
"","Total Noncurrent Assets","71,383","118,411","133,714","163,308","200,967","214,817","246,674","234,386","175,697","180,175"
"","Total Assets","116,371","176,064","207,000","231,839","290,345","321,686","375,319","365,725","338,516","323,888"
"","Liabilities","","","","","","","","","",""
"","Payables & Accruals","23,879","32,589","36,223","48,649","60,671","59,321","44,242","55,888","46,236","42,296"
"","Short Term Debt","","","0","6,308","10,999","11,605","18,473","20,748","16,240","13,769"
"","Other Short Term Liabilities","4,091","5,953","7,435","8,491","8,940","8,080","38,099","39,293","43,242","49,327"
"","Total Current Liabilities","27,970","38,542","43,658","63,448","80,610","79,006","100,814","115,929","105,718","105,392"
"","Long Term Debt","","0","16,960","28,987","53,329","75,427","97,207","93,735","91,807","98,667"
"","Other Long Term Liabilities","11,786","19,312","22,833","27,857","37,051","39,004","43,251","48,914","50,503","54,490"
"","Total Noncurrent Liabilities","11,786","19,312","39,793","56,844","90,380","114,431","140,458","142,649","142,310","153,157"
"","Total Liabilities","39,756","57,854","83,451","120,292","170,990","193,437","241,272","258,578","248,028","258,549"
"","Share Capital & Additional Paid-In Capital","13,331","16,422","19,764","23,313","27,416","31,251","35,867","40,201","45,174","50,779"
"","Retained Earnings","62,841","101,289","104,256","87,152","92,284","96,364","98,330","70,400","45,898","14,966"
"","Other Equity","443","499","-471","1,082","-345","634","-150","-3,454","-584","-406"
"","Equity Before Minority Interest","76,615","118,210","123,549","111,547","119,355","128,249","134,047","107,147","90,488","65,339"
"","Total Equity","76,615","118,210","123,549","111,547","119,355","128,249","134,047","107,147","90,488","65,339"
"","Total Liabilities & Equity","116,371","176,064","207,000","231,839","290,345","321,686","375,319","365,725","338,516","323,888"
"","","","","","","","","","","",""
"Cash Flow statement","","","","","","","","","","",""
"","in million USD","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19","FY '20"
"","Net Income/Starting Line","25,922","41,733","37,037","39,510","53,394","45,687","48,351","59,531","55,256","57,411"
"","Depreciation & Amortization","1,814","3,277","6,757","7,946","11,257","10,505","10,157","10,903","12,547","11,056"
"","Non-Cash Items","4,036","6,145","3,394","5,210","4,968","9,148","10,806","-27,250","5,728","6,614"
"","Change in Working Capital","5,757","-299","6,478","7,047","11,647","891","-5,089","34,250","-4,140","5,593"
"","Cash from Operating Activities","37,529","50,856","53,666","59,713","81,266","66,231","64,225","77,434","69,391","80,674"
"","Change in Fixed Assets & Intangibles","-7,452","-9,402","-9,076","-9,813","-11,488","-12,734","-12,451","-13,313","-10,495","-7,309"
"","Net Change in Long Term Investment","-32,464","-38,427","-24,042","-9,017","-44,417","-32,022","-33,542","30,845","58,093","5,335"
"","Net Cash From Acquisitions & Divestitures","-244","-350","-496","-3,775","-343","-297","-329","-721","-624","-1,524"
"","Other Investing Activities","-259","-48","-160","26","-26","-924","-124","-745","-1,078","-791"
"","Cash from Investing Activities","-40,419","-48,227","-33,774","-22,579","-56,274","-45,977","-46,446","16,066","45,896","-4,289"
"","Dividends Paid","0","-2,488","-10,564","-11,126","-11,561","-12,150","-12,769","-13,712","-14,119","-14,081"
"","Cash From (Repayment of) Debt","0","0","16,896","18,266","29,305","22,057","29,014","432","-7,819","2,499"
"","Cash From (Repurchase of) Equity","831","665","-22,330","-44,270","-34,710","-29,227","-32,345","-72,069","-66,116","-71,478"
"","Other Financing Activities","613","125","-381","-419","-750","-1,570","-1,874","-2,527","-2,922","-3,760"
"","Cash from Financing Activities","1,444","-1,698","-16,379","-37,549","-17,716","-20,890","-17,974","-87,876","-90,976","-86,820"
"","Net Changes in Cash","-1,446","931","3,513","-415","7,276","-636","-195","5,624","24,311","-10,435"
